								
Within each row, compare columns (simple effects within rows)								
								
Number of families	1							
Number of comparisons per family	618							
Alpha	0.05							
								
Šídák's multiple comparisons test	Predicted (LS) mean diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
								
  P27747								
    Group B vs. Group C	0.7365	-3.377 to 4.850	No	ns	>0.9999			
								
  Q0K6H4								
    Group A vs. Group B	1.755	-1.604 to 5.113	No	ns	>0.9999			
    Group A vs. Group C	2.145	-1.968 to 6.258	No	ns	>0.9999			
    Group B vs. Group C	0.3899	-3.723 to 4.503	No	ns	>0.9999			
								
  Q0K6K6								
    Group A vs. Group B	1.318	-2.040 to 4.677	No	ns	>0.9999			
    Group A vs. Group C	3.808	-0.3049 to 7.921	No	ns	0.1522			
    Group B vs. Group C	2.490	-1.623 to 6.603	No	ns	>0.9999			
								
  Q0K6L0								
    Group A vs. Group B	-0.2460	-3.604 to 3.112	No	ns	>0.9999			
    Group A vs. Group C	1.744	-2.369 to 5.858	No	ns	>0.9999			
    Group B vs. Group C	1.990	-2.123 to 6.104	No	ns	>0.9999			
								
  Q0K6L3								
    Group A vs. Group B	3.625	0.2667 to 6.983	Yes	*	0.0133			
    Group A vs. Group C	4.167	0.05401 to 8.280	Yes	*	0.0405			
    Group B vs. Group C	0.5421	-3.571 to 4.655	No	ns	>0.9999			
								
  Q0K6L7								
    Group A vs. Group B	-0.3093	-3.668 to 3.049	No	ns	>0.9999			
    Group A vs. Group C	2.630	-1.483 to 6.743	No	ns	0.9993			
    Group B vs. Group C	2.939	-1.174 to 7.053	No	ns	0.9507			
								
  Q0K6Y1								
